Date,Price
03-01-2017,43.397999
04-01-2017,45.397999
05-01-2017,45.349998
06-01-2017,45.801998
09-01-2017,46.256001
10-01-2017,45.973999
11-01-2017,45.945999
12-01-2017,45.917999
13-01-2017,47.549999
17-01-2017,47.116001
18-01-2017,47.672001
19-01-2017,48.751999
20-01-2017,48.945999
23-01-2017,49.784
24-01-2017,50.922001
25-01-2017,50.894001
26-01-2017,50.501999
27-01-2017,50.59
30-01-2017,50.125999
31-01-2017,50.386002
01-02-2017,49.848
02-02-2017,50.310001
03-02-2017,50.265999
06-02-2017,51.554001
07-02-2017,51.495998
08-02-2017,52.416
09-02-2017,53.84
10-02-2017,53.846001
13-02-2017,56.119999
14-02-2017,56.195999
15-02-2017,55.952
16-02-2017,53.790001
17-02-2017,54.445999
21-02-2017,55.478001
22-02-2017,54.702
23-02-2017,51.198002
24-02-2017,51.400002
27-02-2017,49.245998
28-02-2017,49.998001
01-03-2017,50.004002
02-03-2017,50.096001
03-03-2017,50.313999
06-03-2017,50.242001
07-03-2017,49.717999
08-03-2017,49.374001
09-03-2017,48.98
10-03-2017,48.737999
13-03-2017,49.234001
14-03-2017,51.599998
15-03-2017,51.146
16-03-2017,52.41
17-03-2017,52.299999
20-03-2017,52.383999
21-03-2017,50.136002
22-03-2017,51.001999
23-03-2017,50.956001
24-03-2017,52.632
27-03-2017,54.043999
28-03-2017,55.490002
29-03-2017,55.476002
30-03-2017,55.584
31-03-2017,55.66
03-04-2017,59.703999
04-04-2017,60.740002
05-04-2017,59
06-04-2017,59.740002
07-04-2017,60.507999
10-04-2017,62.478001
11-04-2017,61.742001
12-04-2017,59.368
13-04-2017,60.799999
17-04-2017,60.287998
18-04-2017,60.049999
19-04-2017,61.104
20-04-2017,60.501999
21-04-2017,61.119999
24-04-2017,61.605999
25-04-2017,62.757999
26-04-2017,62.034
27-04-2017,61.726002
28-04-2017,62.813999
01-05-2017,64.566002
02-05-2017,63.778
03-05-2017,62.203999
04-05-2017,59.091999
05-05-2017,61.669998
08-05-2017,61.438
09-05-2017,64.251999
10-05-2017,65.043999
11-05-2017,64.620003
12-05-2017,64.961998
15-05-2017,63.175999
16-05-2017,63.402
17-05-2017,61.222
18-05-2017,62.612
19-05-2017,62.166
22-05-2017,62.07
23-05-2017,60.771999
24-05-2017,62.043999
25-05-2017,63.366001
26-05-2017,65.028
30-05-2017,67.019997
31-05-2017,68.202003
01-06-2017,68.073997
02-06-2017,67.970001
05-06-2017,69.463997
06-06-2017,70.57
07-06-2017,71.93
08-06-2017,74
09-06-2017,71.463997
12-06-2017,71.802002
13-06-2017,75.190002
14-06-2017,76.132004
15-06-2017,75.068001
16-06-2017,74.279999
19-06-2017,73.959999
20-06-2017,74.447998
21-06-2017,75.279999
22-06-2017,76.522003
23-06-2017,76.690002
26-06-2017,75.498001
27-06-2017,72.473999
28-06-2017,74.248001
29-06-2017,72.150002
30-06-2017,72.321999
03-07-2017,70.524002
05-07-2017,65.417999
06-07-2017,61.765999
07-07-2017,62.644001
10-07-2017,63.209999
11-07-2017,65.444
12-07-2017,65.903999
13-07-2017,64.681999
14-07-2017,65.556
17-07-2017,63.914001
18-07-2017,65.648003
19-07-2017,65.052002
20-07-2017,65.984001
21-07-2017,65.68
24-07-2017,68.503998
25-07-2017,67.919998
26-07-2017,68.769997
27-07-2017,66.891998
28-07-2017,67.014
31-07-2017,64.694
01-08-2017,63.914001
02-08-2017,65.178001
03-08-2017,69.417999
04-08-2017,71.382004
07-08-2017,71.033997
08-08-2017,73.043999
